SKU,avg_daily_demand,std_daily_demand,lead_time_days,safety_stock_units,reorder_point_units
21270,2.2222222222222223,1.555088632070459,7,7,23
21271,2.09375,1.784509962553197,7,8,23
21272,1.0,0.0,7,0,7
21273,2.0,1.6583123951777,7,7,21
21276,1.0,0.0,7,0,7
21277,7.131578947368421,9.62589708738059,7,42,92
21280,2.0,0.0,7,0,14
21281,2.142857142857143,1.5118578920369088,7,7,22
21282,1.0,0.0,7,0,7
21284,1.1538461538461537,0.554700196225229,7,2,10
21286,1.3333333333333333,0.5163977794943223,7,2,11
21287,5.035714285714286,4.417827041340094,7,19,54
21288,2.5,2.1213203435596424,7,9,26
2129,1.3333333333333333,0.5773502691896257,7,3,12
21296,2.0,1.0,7,4,18
21298,2.0,0.0,7,0,14
213,2.064516129032258,1.4126920841893265,7,6,20
2130,2.4074074074074074,1.3085299814107096,7,6,23
21300,1.3,0.48304589153964794,7,2,11
21308,14.263157894736842,12.408985869067616,7,54,154
2131,14.96078431372549,17.27421290167946,7,75,180
21311,2.210526315789474,2.4170447375168496,7,11,26
21313,1.8461538461538463,0.9870962335856491,7,4,17
21317,6.457142857142857,3.9432955547273876,7,17,62
21318,12.0,0.0,7,0,84
21319,4.694444444444445,3.655285366576885,7,16,49
2132,13.055555555555555,12.410307138441024,7,54,145
21320,1.4444444444444444,0.8819171036881969,7,4,14
21321,4.212121212121212,2.6428863927245314,7,12,41
21323,3.5555555555555554,5.174724898753341,7,23,48
21325,1.0,0.0,7,0,7
21326,4.181818181818182,3.14167628347191,7,14,43
21329,8.25,8.084222359806212,7,35,93
21333,12.0,0.0,7,0,84
21338,2.2142857142857144,1.5281246137553166,7,7,22
21339,1.0,0.0,7,0,7
2134,1.0,0.0,7,0,7
21340,1.0,0.0,7,0,7
21341,2.8,1.9790570145063195,7,9,29
21342,2.5,0.7071067811865476,7,3,20
21352,2.0,0.0,7,0,14
21353,3.46875,2.590109911729367,7,11,35
21355,2.5,2.1213203435596424,7,9,26
21359,12.0,0.0,7,0,84
2136,7.0,11.808550311749377,7,51,100
21363,2.5,3.0600059417648793,7,13,30
21364,2.2666666666666666,2.914659173083209,7,13,29
21366,1.0,0.0,7,0,7
21367,1.5454545454545454,0.8201995322647244,7,4,15
21369,2.125,1.5438048235879214,7,7,22
2137,1.2,0.4472135954999579,7,2,10
21374,14.0,4.898979485566356,7,21,119
21375,12.0,0.0,7,0,84
21380,1.1428571428571428,0.3779644730092272,7,2,10
21381,2.142857142857143,1.8516401995451028,7,8,23
21382,1.7333333333333334,0.9611501047232549,7,4,16
21383,1.0,0.0,7,0,7
21384,1.8,1.0954451150103321,7,5,18
21385,1.5,0.7071067811865476,7,3,14
21386,1.5,0.5773502691896257,7,3,14
21407,1.0,0.0,7,0,7
21408,1.25,0.4629100498862757,7,2,11
21409,4.0,6.164414002968976,7,27,55
21410,2.6666666666666665,3.2844906435973886,7,14,33
21411,2.0,1.4142135623730951,7,6,20
21412,4.285714285714286,7.356241276241945,7,32,62
21413,16.0,0.0,7,0,112
21416,12.0,0.0,7,0,84
21419,12.0,0.0,7,0,84
2142,7.38,7.953666847846383,7,35,87
21420,12.0,0.0,7,0,84
21424,2.2,1.3038404810405297,7,6,21
21426,1.25,0.5,7,2,11
21427,4.428571428571429,8.638231741453085,7,38,69
21428,3.0,4.203173404306164,7,18,39
21429,1.0,0.0,7,0,7
2143,40.68333333333333,32.2781826230401,7,140,425
21430,1.0,0.0,7,0,7
21431,1.0,0.0,7,0,7
21434,1.3333333333333333,0.5773502691896258,7,3,12
21435,2.5,2.1213203435596424,7,9,26
21439,3.0,1.4142135623730951,7,6,27
21441,1.4285714285714286,0.7867957924694432,7,3,13
21442,2.2,1.399247918291146,7,6,21
21446,1.0,0.0,7,0,7
21447,1.0,0.0,7,0,7
21449,3.5,2.1213203435596424,7,9,34
2145,6.487804878048781,4.388177020241504,7,19,64
21454,4.0,0.0,7,0,28
21457,1.0,0.0,7,0,7
21458,1.0,0.0,7,0,7
21460,2.0,0.0,7,0,14
21461,2.0,0.0,7,0,14
21463,1.5,0.7071067811865476,7,3,14
21464,4.0,3.0,7,13,41
21468,2.0,0.0,7,0,14
21469,9.777777777777779,8.141993827807996,7,35,103
21471,1.0,0.0,7,0,7
21473,2.0,0.0,7,0,14
21475,1.0,0.0,7,0,7
21478,2.5,2.1213203435596424,7,9,26
2148,8.53448275862069,6.948975734801167,7,30,90
21480,1.0,0.0,7,0,7
21481,2.0,0.0,7,0,14
21485,2.8,2.04939015319192,7,9,29
2149,16.45,14.342570272928706,7,62,177
21502,1.4666666666666666,0.6399404734221843,7,3,13
21503,1.0,0.0,7,0,7
21504,12.0,0.0,7,0,84
21510,5.571428571428571,4.989905777052864,7,22,61
21517,1.7647058823529411,1.147247344990711,7,5,17
21519,1.0,0.0,7,0,7
2152,19.789473684210527,19.347145269397963,7,84,223
