SKU,Description,total_qty,total_revenue,avg_price,n_transactions,cum_value,cum_perc,ABC
24303,Cupcake Black Forest,81,930.1899999999999,11.382857142857144,28,32065106.63,0.9675833159014265,C
32827,Rombauer Merlot Napa,31,929.6899999999999,29.99,20,32066036.32,0.9676113698400378,C
5335,Beniotome Sesame Shochu,31,929.6899999999999,29.99,24,32066966.01,0.9676394237786491,C
23197,Yellow Tail Sangria Blanco,65,929.35,14.401764705882353,51,32067895.360000003,0.9676674674575618,C
6635,Gallo Twin Valley Hearty Bur,93,929.0699999999999,9.99,54,32068824.430000003,0.9676955026873111,C
1393,Jim Beam,186,928.1400000000001,4.99,58,32069752.570000004,0.9677235098537672,C
17458,Skinnygirl Rose Wine,103,925.97,8.99,76,32070678.540000003,0.9677514515392063,C
5678,Skinnygirl Pina Colada,86,924.64,10.015,20,32071603.180000003,0.9677793530911187,C
9116,KAH Tequila 3/50mLs Pak,37,924.63,24.99,14,32072527.810000002,0.9678072543412752,C
11199,Carpene Malvolti Prosecco,55,924.4499999999999,16.80818181818182,33,32073452.26,0.9678351501598268,C
25125,Zorvino Vyds Mango Magnifico,74,924.26,12.49,62,32074376.520000003,0.9678630402450173,C
16541,Atamisque Assemblage,28,923.72,32.99,10,32075300.240000002,0.9678909140353926,C
4029,Tall Ship Cedar Island Spice,33,923.67,27.99,30,32076223.910000004,0.9679187863169887,C
8425,Studebaker Manhattan RTD,42,923.5799999999999,21.99,39,32077147.490000002,0.9679466558827822,C
14799,A Bichot Pouilly-Fuisse,44,923.56,20.99,22,32078071.05,0.9679745248450639,C
39689,Hahn Meritage Central Coast,56,923.4399999999999,16.49,36,32078994.490000002,0.9680023901862757,C
23800,Boya Svgn Bl,66,923.34,13.99,34,32079917.830000002,0.968030252509929,C
10931,Bridlewood Chard Monterey,77,923.23,11.989999999999998,29,32080841.060000002,0.9680581115142681,C
6186,Rene Junot White,77,923.23,11.989999999999998,29,32081764.290000003,0.9680859705186073,C
19451,Souverain Svgn Bl No Coast,71,922.29,12.99,51,32082686.580000002,0.9681138011578976,C
21341,Essenciel Paradis Prvnc Rose,70,921.3000000000001,13.212222222222222,45,32083607.880000003,0.9681416019233597,C
24736,Dumangin Champagne Cuvee 17,23,919.77,39.99,15,32084527.650000002,0.9681693565201784,C
11249,Joseph Carr Merlot Napa Vly,51,919.4899999999999,18.042631578947365,38,32085447.14,0.9681971026678337,C
18001,Ruca Malen Malbec Rsv,54,917.4599999999999,16.99,38,32086364.6,0.9682247875590536,C
15291,Flip Flop Cab Svgn,157,917.43,5.8667123287671235,73,32087282.03,0.968252471545006,C
8875,Freixenet Cordon Negro Brut,37,916.63,24.67,25,32088198.66,0.9682801313904913,C
39652,Sutter Home Pnt Grigio Cal,153,916.47,5.989999999999999,24,32089115.13,0.9683077864078832,C
