SKU,Description,total_qty,total_revenue,avg_price,n_transactions,annual_demand_units,unit_cost_est,order_cost_S,holding_cost_H,EOQ_units
3667,Boru Original Irish Vodka,513,10048.869999999999,19.594010025062655,399,3120.75,17.99,200.0,3.598,589
42422,Firesteed Pnt Nr Ore,651,10012.49,15.422692307692309,312,3960.25,15.99,200.0,3.1980000000000004,704
8620,Sambuca Romana,834,9999.66,11.99,595,5073.5,11.99,200.0,2.398,920
3579,Ciroc Pineapple Vodka,822,9992.28,12.366221498371337,307,5000.5,11.99,200.0,2.398,913
11488,C K Mondavi Cab Svgn,903,9965.97,11.054150943396227,530,5493.25,10.99,200.0,2.198,1000
44943,Sanford Santa Barbara Chard,622,9945.78,15.989999999999998,268,3783.833333333333,15.99,200.0,3.1980000000000004,688
2696,McClelland Highland Sgl Malt,267,9945.33,37.32928571428572,224,1624.25,37.99,200.0,7.598000000000001,292
34460,Dr Loosen Rsl 'Dr L' M,821,9930.79,12.134044321329641,361,4994.416666666666,10.99,200.0,2.198,953
8312,Bols Curacao Orange,1059,9929.41,9.715190839694657,262,6442.25,7.99,200.0,1.598,1270
14805,Ninety+Cellars Lot 23 Malbec,1088,9923.12,9.136596858638745,382,6618.666666666666,8.99,200.0,1.798,1213
4639,Jeffersons  Ocean Bourbon,124,9918.76,79.99,51,754.3333333333333,79.99,200.0,15.998,137
8342,Korbel X Dry,668,9914.32,14.865,312,4063.6666666666665,11.99,200.0,2.398,823
2131,Jack Daniels No 7 Black Trav,763,9911.37,12.99,454,4641.583333333333,12.99,200.0,2.5980000000000003,845
1394,Makers Mark,598,9908.019999999999,16.570128205128203,468,3637.833333333333,16.49,200.0,3.298,664
26732,Bonterra Cab Svgn Organic,706,9876.94,13.99,342,4294.833333333333,13.99,200.0,2.798,784
3352,Ciroc Coconut Vodka,359,9867.41,27.92048128342246,187,2183.9166666666665,24.99,200.0,4.998,418
24002,Corbett Canyon Chard,1395,9863.05,7.107039586919106,581,8486.25,6.99,200.0,1.3980000000000001,1558
24088,Hess Select Cab Svgn,552,9862.48,17.834236760124607,321,3358.0,16.99,200.0,3.3979999999999997,629
6960,Cooks Brut,1271,9858.29,7.759736842105263,456,7731.916666666666,6.99,200.0,1.3980000000000001,1487
5221,RumChata Liqueur,782,9835.18,12.578129496402878,556,4757.166666666666,11.99,200.0,2.398,891
6523,Franzia Burgundy Tap Red,648,9821.52,15.200526315789473,456,3942.0,14.99,200.0,2.998,725
3877,Smirnoff Green Apple Vodka,865,9800.35,11.328983050847459,590,5262.083333333333,10.99,200.0,2.198,979
1005,Maker's Mark Combo Pack,280,9797.2,34.99,175,1703.3333333333333,34.99,200.0,6.998000000000001,312
19357,Kendall Jackson Vntnr Rsv Ch,1629,9795.71,6.048375634517766,394,9909.75,5.99,200.0,1.1980000000000002,1819
46202,Yellow Tail Pnt Grigio Ausl,738,9782.14,13.686631578947368,380,4489.5,9.99,200.0,1.9980000000000002,948
7535,Gekkeikan Sake,1632,9775.68,5.99,625,9928.0,5.99,200.0,1.1980000000000002,1821
6231,Mumm Brut Prestige,522,9744.58,18.75964980544747,257,3175.5,14.99,200.0,2.998,651
11827,Cupcake Merlot,1162,9736.38,8.371802721088436,588,7068.833333333333,6.99,200.0,1.3980000000000001,1422
3150,Svedka Mango Pineapple Vodka,885,9734.15,11.000135135135135,592,5383.75,10.99,200.0,2.198,990
41321,Bogle Phantom Red Cal,475,9730.289999999999,20.93278481012658,237,2889.583333333333,16.95,200.0,3.39,584
4932,Arrow Ginger Brandy,1545,9716.55,6.342238805970149,670,9398.75,7.99,200.0,1.598,1534
6351,Kendall Jackson Vntr RSV Cab,498,9712.02,19.476381322957195,257,3029.5,17.99,200.0,3.598,580
2986,Hibiki Harmony Japan Whiskey,147,9700.529999999999,65.99,89,894.25,65.99,200.0,13.198,165
16289,Barefoot Bubbly Pink Moscato,994,9686.06,9.756848816029144,549,6046.833333333333,7.99,200.0,1.598,1230
5713,DeKuyper Sour Apple Pucker,630,9647.7,15.304225053078556,471,3832.5,14.99,200.0,2.998,715
13497,Mohua Svgn Bl Marlboro,811,9641.89,11.857595818815332,287,4933.583333333333,10.99,200.0,2.198,948
24936,T-Vine Petite Sirah Napa,643,9638.57,14.99,195,3911.583333333333,14.99,200.0,2.998,722
3687,Fleischmanns Royal Traveler,1720,9634.800000000001,5.701758584807493,961,10463.333333333332,5.99,200.0,1.1980000000000002,1869
2924,Speyburn 10-Yr Single Malt,400,9631.0,24.084637223974763,317,2433.333333333333,21.99,200.0,4.398,470
8155,Black Velvet Plastic,1925,9602.75,4.988571428571428,1050,11710.416666666666,4.49,200.0,0.8980000000000001,2284
18010,Cocobon Red,1595,9599.05,6.054718162839248,479,9702.916666666666,5.99,200.0,1.1980000000000002,1800
27835,Wild Horse CC Pnt Nr,566,9597.34,16.973221476510066,298,3443.1666666666665,14.99,200.0,2.998,678
24786,Opus One 12,39,9593.61,245.99,14,237.25,245.99,200.0,49.19800000000001,44
20863,W Hill Est Chard N Coast,737,9573.63,12.990000000000002,331,4483.416666666666,12.99,200.0,2.5980000000000003,831
7254,Cribari Marsala,1198,9572.02,7.99,638,7287.833333333333,7.99,200.0,1.598,1351
6854,Carlo Rossi Burgundy Calif,638,9563.62,14.99,474,3881.1666666666665,14.99,200.0,2.998,720
31542,Morgan Winery Twelve Clones,350,9560.5,27.42195266272189,169,2129.1666666666665,23.99,200.0,4.798,421
8892,R Mondavi Cab Svgn Napa,354,9558.46,27.01469135802469,162,2153.5,26.99,200.0,5.398,399
31866,F Coppola Diamond Merlot,637,9548.63,14.99,423,3875.083333333333,13.99,200.0,2.798,744
1961,Everclear 151,275,9528.25,34.75354679802956,203,1672.9166666666665,34.99,200.0,6.998000000000001,309
4634,Gold Crown Wh Rum,749,9527.51,12.797909604519774,354,4556.416666666666,10.99,200.0,2.198,911
2640,Michter's Small Batch Bourbn,227,9520.73,41.957741935483874,186,1380.9166666666665,44.99,200.0,8.998000000000001,248
8424,1800 Coconut Tequila,358,9518.42,26.584202898550725,276,2177.833333333333,21.99,200.0,4.398,445
3923,Don Julio 1942 Anejo Tequila,71,9513.29,133.99,61,431.91666666666663,133.99,200.0,26.798000000000002,80
3689,Stolichnaya Vanil,525,9511.75,18.114675324675325,385,3193.75,16.99,200.0,3.3979999999999997,613
26092,Blackstone Merlot Cal,906,9506.94,10.566826196473551,397,5511.5,7.99,200.0,1.598,1175
28658,R Mondavi Pnt Nr Pvt Sel,1056,9493.44,9.029647577092511,454,6424.0,7.99,200.0,1.598,1268
35918,Stone Cellars Pnt Grigio,945,9470.55,10.048189655172413,464,5748.75,10.99,200.0,2.198,1023
12586,C Y Toro Frontera Malbec,1164,9463.36,8.176119873817035,634,7081.0,8.99,200.0,1.798,1255
4145,Don Q Cristal Rum,556,9446.439999999999,16.99,379,3382.333333333333,19.99,200.0,3.9979999999999998,582
6213,Taylor Red Port,1182,9444.18,7.99,662,7190.5,7.99,200.0,1.598,1342
8189,Camarena Silver Tequila,295,9437.05,31.99,241,1794.5833333333333,31.99,200.0,6.398,335
3041,Zhenka Pink Lemonade Vodka,895,9412.05,10.579371980676328,414,5444.583333333333,9.99,200.0,1.9980000000000002,1044
8187,Wild Turkey,507,9387.929999999998,18.49,396,3084.25,18.99,200.0,3.798,570
4349,Sauza Blue Silver,577,9372.23,16.138337595907927,391,3510.083333333333,15.99,200.0,3.1980000000000004,663
32546,Artesa Carneros Pnt Nr,486,9368.14,19.189999999999998,170,2956.5,21.99,200.0,4.398,519
1323,Early Times,473,9364.269999999999,19.790632911392404,316,2877.4166666666665,16.99,200.0,3.3979999999999997,582
6455,Folonari Pinot Grigio Venez,783,9357.61,12.192765432098765,405,4763.25,14.99,200.0,2.998,797
1886,Seagrams 7 Crown,851,9352.49,10.99,583,5176.916666666666,10.99,200.0,2.198,971
5031,DeKuyper Peppermint Schnapp,567,9351.33,16.526159600997506,401,3449.25,16.99,200.0,3.3979999999999997,637
6385,Fetzer Sundial Chard,718,9308.82,12.97473282442748,393,4367.833333333333,12.99,200.0,2.5980000000000003,820
7716,Andre Brut,1562,9298.38,5.9501873536299765,427,9502.166666666666,5.99,200.0,1.1980000000000002,1781
3936,Stolichnaya,385,9291.15,24.138148148148144,216,2342.083333333333,22.99,200.0,4.598,451
2967,Glenfiddich Solera 15-Yr RS,157,9287.43,59.11592592592593,135,955.0833333333333,59.99,200.0,11.998000000000001,178
5232,DeKuyper Buttershots Schnaps,564,9284.359999999999,16.497972665148062,439,3431.0,16.99,200.0,3.3979999999999997,636
3745,Taaka Vodka Traveler,1859,9276.41,4.99,1018,11308.916666666666,3.99,200.0,0.798,2381
